fecha,clae2,mujer,p10,p25,w_mean,w_median,p75,p90,p99
2007-02-01,56,1,307,527,924,799,1218,1554,2875
2007-02-01,58,0,727,1170,2939,1865,3380,6015,15441
2007-02-01,58,1,587,951,2050,1450,2360,3944,10000
2007-02-01,59,0,514,877,2461,1550,2898,5000,12018
2007-02-01,59,1,482,769,1774,1200,2179,3629,9526
2007-02-01,60,0,820,1396,2980,2204,3414,5400,13236
2007-02-01,60,1,639,1098,2261,1685,2600,4091,10000
2007-02-01,61,0,1046,1786,3364,2665,3547,5114,17495
2007-02-01,61,1,687,1196,2226,1869,2581,3584,9887
2007-02-01,62,0,866,1324,3201,2249,3700,5594,16268
2007-02-01,62,1,654,1162,2440,1785,3000,4600,10000
2007-02-01,63,0,794,1289,3136,2159,3911,6015,16075
2007-02-01,63,1,660,1048,2334,1506,2600,4296,9188
2007-02-01,64,0,1362,2270,5293,3296,4943,8686,28239
2007-02-01,64,1,1063,1620,3346,2551,3788,5984,15416
2007-02-01,65,0,558,1370,3221,2092,3287,5446,19122
2007-02-01,65,1,800,1396,2352,1946,2685,3909,9720
2007-02-01,66,0,590,1082,2779,1485,2717,5000,16892
2007-02-01,66,1,550,790,1785,1242,1844,3000,8120
2007-02-01,68,0,585,872,1488,1227,1687,2529,5800
2007-02-01,68,1,481,649,1173,1105,1384,1846,4594
2007-02-01,69,0,550,773,1817,1211,1911,3518,10000
2007-02-01,69,1,545,644,1328,1162,1469,2289,6644
2007-02-01,70,0,506,783,1918,1173,1732,3176,10120
2007-02-01,70,1,420,614,1521,1080,1490,2621,7602
2007-02-01,71,0,408,719,1795,1153,1824,3728,10000
2007-02-01,71,1,496,725,1676,1215,1757,2936,7944
2007-02-01,72,0,427,906,2803,1615,2959,6000,21745
2007-02-01,72,1,478,1000,2801,1675,3020,5981,16093
2007-02-01,73,0,589,1016,2892,1616,2864,5340,24991
2007-02-01,73,1,206,624,1750,1244,2044,3448,10000
2007-02-01,74,0,435,698,1476,1094,1388,2086,7385
2007-02-01,74,1,455,615,1129,1028,1325,1801,4851
2007-02-01,75,0,540,623,1008,855,1215,1479,2709
2007-02-01,75,1,488,593,874,690,1181,1384,2414
