date,clae2,salary,dollar,dolarized_salary
2007-05-01,90,1083,3.12,347
2007-05-01,91,1230,3.12,394
2007-05-01,92,1571,3.12,504
2007-05-01,93,1082,3.12,347
2007-05-01,94,1471,3.12,471
2007-05-01,95,1173,3.12,376
2007-05-01,96,949,3.12,304
2007-05-01,999,1917,3.12,614
2007-06-01,1,1427,3.1,460
2007-06-01,2,1567,3.1,505
2007-06-01,3,3487,3.1,1125
2007-06-01,5,3825,3.1,1234
2007-06-01,6,8691,3.1,2804
2007-06-01,7,4897,3.1,1580
2007-06-01,8,3615,3.1,1166
2007-06-01,9,4390,3.1,1416
2007-06-01,10,2316,3.1,747
2007-06-01,11,3229,3.1,1042
2007-06-01,12,3111,3.1,1004
2007-06-01,13,2171,3.1,700
2007-06-01,14,1825,3.1,589
2007-06-01,15,2155,3.1,695
2007-06-01,16,2036,3.1,657
2007-06-01,17,2965,3.1,956
2007-06-01,18,2426,3.1,783
2007-06-01,19,4443,3.1,1433
2007-06-01,20,3821,3.1,1233
2007-06-01,21,4247,3.1,1370
2007-06-01,22,2667,3.1,860
2007-06-01,23,2908,3.1,938
2007-06-01,24,4698,3.1,1515
2007-06-01,25,2334,3.1,753
2007-06-01,26,3211,3.1,1036
2007-06-01,27,2637,3.1,851
2007-06-01,28,2824,3.1,911
2007-06-01,29,3712,3.1,1197
2007-06-01,30,3318,3.1,1070
2007-06-01,31,2133,3.1,688
2007-06-01,32,2242,3.1,723
2007-06-01,33,2858,3.1,922
2007-06-01,35,4153,3.1,1340
2007-06-01,36,3869,3.1,1248
2007-06-01,37,2549,3.1,822
2007-06-01,38,3225,3.1,1040
2007-06-01,39,1134,3.1,366
2007-06-01,41,2010,3.1,648
2007-06-01,42,2833,3.1,914
2007-06-01,43,1977,3.1,638
2007-06-01,45,2261,3.1,729
2007-06-01,46,2523,3.1,814
2007-06-01,47,1862,3.1,601
2007-06-01,49,2491,3.1,804
2007-06-01,50,3706,3.1,1195
2007-06-01,51,4272,3.1,1378
2007-06-01,52,2753,3.1,888
2007-06-01,53,2949,3.1,951
2007-06-01,55,2026,3.1,654
2007-06-01,56,1362,3.1,439
2007-06-01,58,3356,3.1,1083
2007-06-01,59,2291,3.1,739
2007-06-01,60,3380,3.1,1090
2007-06-01,61,3410,3.1,1100
2007-06-01,62,3615,3.1,1166
2007-06-01,63,3495,3.1,1127
2007-06-01,64,4180,3.1,1348
2007-06-01,65,3509,3.1,1132
2007-06-01,66,2557,3.1,825
2007-06-01,68,1795,3.1,579
2007-06-01,69,2039,3.1,658
2007-06-01,70,2135,3.1,689
2007-06-01,71,2428,3.1,783
2007-06-01,72,3922,3.1,1265
2007-06-01,73,2364,3.1,763
